         |--r--avg-|--g--avg-|--b--avg-|--r-g(0)-|--r----w-|--r-ginf-|--r---dx-|--r---dy-|--r-used-|--r-norm-|--g-g(0)-|--g----w-|--g-ginf-|--g---dx-|--g---dy-|--g-used-|--g-norm-|--b-g(0)-|--b----w-|--b-ginf-|--b---dx-|--b---dy-|--b-used-|--b-norm-|-rg-g(0)-|-rg----w-|-rg-ginf-|-rg---dx-|-rg---dy-|-rg-used-|-rg-norm-|-rb-g(0)-|-rb----w-|-rb-ginf-|-rb---dx-|-rb---dy-|-rb-used-|-rb-norm-|-gb-g(0)-|-gb----w-|-gb-ginf-|-gb---dx-|-gb---dy-|-gb-used-|-gb-norm-|rgb-g(0)-|rgb----w-|rgb-ginf-|rgb---dx-|rgb---dy-|rgb-used-|rgb-norm-
  1.00000| 39.81721| 17.89697| 22.22080|  0.07532| 15.42602|  0.03327|  0.00000|  0.00000|  0.00000|  0.02490|  0.03093| 13.30955|  0.00851|  0.00000|  0.00000|  0.00000|  0.01426|  0.07726| 14.71404|  0.02127|  0.00000|  0.00000|  0.00000|  0.04462|  0.05227| 56.55882| -0.03041|  0.00000|  0.00000|  0.00000|  0.00079|  0.05468| 15.44842|  0.02455|  0.00000|  0.00000|  0.00000|  0.00310|  0.00791| 15.59333|  0.00782|  0.00000|  0.00000|  0.00000|  0.00027|  0.00559| 17.40000|  0.00188|  0.00000|  0.00000|  0.00000|  0.00001
  2.00000| 60.95202| 24.97341| 29.59763|  0.07844| 17.98718|  0.03926|  0.00000|  0.00000|  0.00000|  0.01206|  0.03772| 14.46561|  0.02005|  0.00000|  0.00000|  0.00000|  0.01242|  0.08589| 17.08851|  0.02019|  0.00000|  0.00000|  0.00000|  0.03692|  0.00921| 16.71698|  0.01463|  0.00000|  0.00000|  0.00000|  0.00023|  0.06639| 19.98476|  0.01969|  0.00000|  0.00000|  0.00000|  0.00019|  0.13551|118.79534| -0.11920|  0.00000|  0.00000|  0.00000|  0.00019|  4.91991|5922.70000| -4.91825|  0.00000|  0.00000|  0.00000|  0.00001
  3.00000| 59.36477| 21.06357| 28.89909|  0.07614| 15.82842|  0.02853|  0.00000|  0.00000|  0.00000|  0.01312|  0.03013| 13.55664|  0.00620|  0.00000|  0.00000|  0.00000|  0.01339|  0.07785| 16.27063|  0.02236|  0.00000|  0.00000|  0.00000|  0.03742|  0.00959| 18.13487|  0.00995|  0.00000|  0.00000|  0.00000|  0.00045|  0.05999| 17.15535|  0.01936|  0.00000|  0.00000|  0.00000|  0.00049|  0.01681| 26.42592| -0.00220|  0.00000|  0.00000|  0.00000|  0.00050|  0.00480| 36.80000|  0.00171|  0.00000|  0.00000|  0.00000|  0.00000
  4.00000| 43.40489| 20.95003| 22.99266|  0.08873| 15.39999|  0.01884|  0.00000|  0.00000|  0.00000|  0.02578|  0.08608| 13.58125|  0.01779|  0.00000|  0.00000|  0.00000|  0.03441|  0.08248| 14.55024|  0.01202|  0.00000|  0.00000|  0.00000|  0.04169|  0.04772| 48.52916| -0.03434|  0.00000|  0.00000|  0.00000|  0.00042|  0.06417| 15.88020|  0.01312|  0.00000|  0.00000|  0.00000|  0.00031|  0.00871| 14.53896| -0.00154|  0.00000|  0.00000|  0.00000|  0.00013| -0.00228| 68.90000|  0.00150|  0.00000|  0.00000|  0.00000|  0.00001
  5.00000| 61.04195| 21.20017| 29.57953|  0.09089| 17.53623|  0.08670|  0.00000|  0.00000|  0.00000|  0.01163|  0.02581| 12.59962|  0.01479|  0.00000|  0.00000|  0.00000|  0.01303|  0.08058| 15.26527|  0.05322|  0.00000|  0.00000|  0.00000|  0.03552|  0.01957| 20.84572|  0.02157|  0.00000|  0.00000|  0.00000|  0.00094|  0.06649| 17.24843|  0.05807|  0.00000|  0.00000|  0.00000|  0.00334|  0.01063| 25.49698|  0.02164|  0.00000|  0.00000|  0.00000|  0.00008|  0.01124| 42.40000| -0.00022|  0.00000|  0.00000|  0.00000|  0.00000
  6.00000| 45.30800| 20.88814| 23.30989|  0.10419| 16.05137|  0.07434|  0.00000|  0.00000|  0.00000|  0.02955|  0.04988| 13.83925|  0.00834|  0.00000|  0.00000|  0.00000|  0.01423|  0.07448| 14.87439|  0.04920|  0.00000|  0.00000|  0.00000|  0.04276|  0.00225| 13.04479|  0.01929|  0.00000|  0.00000|  0.00000|  0.00041|  0.06370| 17.03067|  0.05328|  0.00000|  0.00000|  0.00000|  0.00475|  0.00241|  5.75053|  0.00954|  0.00000|  0.00000|  0.00000|  0.00020|  0.00349| 37.60000|  0.00132|  0.00000|  0.00000|  0.00000|  0.00000
  7.00000| 39.07713| 18.66565| 21.57717|  0.07035| 15.39791|  0.02765|  0.00000|  0.00000|  0.00000|  0.02581|  0.02258| 12.93791|  0.00774|  0.00000|  0.00000|  0.00000|  0.01347|  0.04831| 14.78060|  0.01475|  0.00000|  0.00000|  0.00000|  0.04184|  0.00908| 15.23773|  0.00507|  0.00000|  0.00000|  0.00000|  0.00011|  0.04036| 16.46932|  0.01633|  0.00000|  0.00000|  0.00000|  0.00107| 10.50011|1657.49159|-10.49039|  0.00000|  0.00000|  0.00000|  0.00017|  0.00336| 25.30000|  0.00026|  0.00000|  0.00000|  0.00000|  0.00000
  8.00000| 36.93665| 17.12241| 20.84019|  0.10945| 16.95131|  0.03881|  0.00000|  0.00000|  0.00000|  0.02839|  0.02314| 13.75927|  0.00761|  0.00000|  0.00000|  0.00000|  0.01341|  0.06856| 14.64453|  0.02449|  0.00000|  0.00000|  0.00000|  0.04264|  0.02532| 32.69168| -0.00007|  0.00000|  0.00000|  0.00000|  0.00004|  0.06465| 16.76935|  0.02598|  0.00000|  0.00000|  0.00000|  0.00117|  0.01051| 27.86208|  0.00566|  0.00000|  0.00000|  0.00000|  0.00023|  0.00877| 31.90000| -0.00059|  0.00000|  0.00000|  0.00000|  0.00000
  9.00000| 52.88763| 26.12293| 26.73666|  0.07183| 16.00750|  0.00974|  0.00000|  0.00000|  0.00000|  0.01513|  0.05420| 15.30914|  0.03068|  0.00000|  0.00000|  0.00000|  0.01127|  0.06953| 15.03636|  0.00453|  0.00000|  0.00000|  0.00000|  0.03757|  0.00238| 11.21473|  0.00131|  0.00000|  0.00000|  0.00000|  0.00007|  0.04921| 16.73541|  0.00176|  0.00000|  0.00000|  0.00000|  0.00042|  0.00690| 39.10988| -0.00473|  0.00000|  0.00000|  0.00000|  0.00147|  0.00041|  0.20000| -0.00061|  0.00000|  0.00000|  0.00000|  0.00000
 10.00000| 57.72042| 30.71605| 27.67165|  0.08206| 15.25142|  0.04854|  0.00000|  0.00000|  0.00000|  0.01464|  0.05081| 15.05463|  0.02719|  0.00000|  0.00000|  0.00000|  0.01008|  0.07105| 13.78590|  0.01922|  0.00000|  0.00000|  0.00000|  0.03821|  0.00431| 12.30046|  0.02183|  0.00000|  0.00000|  0.00000|  0.00126|  0.05298| 15.27056|  0.02611|  0.00000|  0.00000|  0.00000|  0.00079|  0.01066| 26.20662|  0.00361|  0.00000|  0.00000|  0.00000|  0.00066|  0.00456| 29.40000| -0.00067|  0.00000|  0.00000|  0.00000|  0.00000
